5
1000 2997
Q 674 848
U 218 79
Q 864 512
U 896 349
Q 615 509
U 384 821
Q 800 271
U 303 278
Q 397 783
U 169 494
Q 935 523
U 199 455
Q 769 604
U 183 77
Q 950 431
U 136 624
Q 631 354
U 56 496
Q 218 952
U 197 185
Q 813 581
U 6 965
Q 852 309
U 243 601
Q 445 413
U 95 380
Q 288 294
U 187 57
Q 250 723
U 135 553
Q 154 623
U 529 137
Q 977 585
U 985 196
Q 889 182
U 733 702
Q 115 740
U 668 320
Q 401 263
U 921 846
Q 676 369
U 578 964
Q 15 766
U 374 618
Q 489 509
U 171 995
Q 484 52
U 484 461
Q 638 822
U 9 879
Q 356 743
U 934 472
Q 835 954
U 144 588
Q 217 417
U 435 894
Q 786 365
U 858 154
Q 483 232
U 772 972
Q 93 295
U 319 577
Q 347 804
U 391 337
Q 978 752
U 217 334
Q 847 151
U 806 682
Q 105 302
U 271 322
Q 720 58
U 568 858
Q 423 427
U 12 907
Q 11 136
U 231 105
Q 431 903
U 34 131
Q 707 425
U 820 37
Q 530 37
U 371 377
Q 540 178
U 60 997
Q 832 683
U 672 552
Q 741 240
U 411 516
Q 667 775
U 775 31
Q 912 7
U 136 695
Q 910 522
U 178 969
Q 948 999
U 6 478
Q 388 729
U 207 929
Q 259 267
U 278 92
Q 302 950
U 644 43
Q 543 407
U 912 210
Q 183 687
U 593 447
Q 46 729
U 142 308
Q 252 321
U 629 552
Q 672 987
U 382 60
Q 717 589
U 341 976
Q 209 620
U 68 511
Q 922 65
U 907 465
Q 472 171
U 28 7
Q 210 621
U 454 609
Q 703 949
U 917 307
Q 622 899
U 211 294
Q 238 593
U 706 955
Q 534 48
U 284 95
Q 20 704
U 959 942
Q 769 218
U 760 594
Q 389 788
U 601 599
Q 761 408
U 208 464
Q 357 478
U 771 331
Q 377 334
U 625 967
Q 927 331
U 923 814
Q 731 559
U 909 751
Q 263 220
U 46 385
Q 438 806
U 331 179
Q 946 284
U 779 707
Q 692 339
U 524 401
Q 169 647
U 732 898
Q 982 709
U 866 261
Q 41 141
U 75 124
Q 700 337
U 876 315
Q 909 274
U 700 348
Q 80 383
U 527 378
Q 668 658
U 437 712
Q 350 961
U 114 871
Q 961 198
U 770 943
Q 908 988
U 556 949
Q 129 984
U 425 181
Q 673 301
U 496 582
Q 575 549
U 282 7
Q 932 162
U 737 952
Q 172 175
U 665 522
Q 488 779
U 746 449
Q 977 516
U 744 237
Q 504 653
U 538 985
Q 637 964
U 166 310
Q 265 662
U 244 193
Q 563 527
U 552 496
Q 41 290
U 448 213
Q 817 113
U 736 305
Q 244 482
U 107 574
Q 350 851
U 811 206
Q 504 350
U 191 493
Q 666 709
U 155 931
Q 723 400
U 476 287
Q 279 381
U 135 320
Q 23 935
U 533 840
Q 49 621
U 145 645
Q 455 252
U 571 805
Q 456 735
U 363 312
Q 437 906
U 806 103
Q 615 961
U 386 691
Q 713 863
U 978 992
Q 596 113
U 312 619
Q 48 198
U 811 449
Q 819 956
U 447 275
Q 561 370
U 432 369
Q 105 796
U 681 542
Q 702 839
U 645 670
Q 153 32
U 361 866
Q 247 691
U 211 195
Q 156 523
U 814 556
Q 73 625
U 6 893
Q 933 805
U 520 846
Q 175 952
U 567 281
Q 748 249
U 175 803
Q 440 821
U 825 593
Q 205 538
U 812 452
Q 229 23
U 647 385
Q 898 813
U 941 972
Q 790 299
U 217 75
Q 456 737
U 922 632
Q 689 489
U 265 790
Q 90 440
U 945 883
Q 613 770
U 828 818
Q 660 640
U 622 889
Q 15 621
U 626 914
Q 786 919
U 238 576
Q 219 455
U 652 675
Q 192 926
U 659 881
Q 767 276
U 23 858
Q 717 968
U 741 682
Q 90 569
U 853 750
Q 562 475
U 991 577
Q 449 617
U 843 235
Q 537 81
U 164 108
Q 536 168
U 135 728
Q 446 147
U 962 213
Q 423 985
U 71 492
Q 306 164
U 175 748
Q 86 28
U 851 648
Q 855 842
U 577 656
Q 812 421
U 244 701
Q 502 408
U 161 39
Q 928 296
U 119 374
Q 795 433
U 587 219
Q 419 11
U 63 77
Q 527 590
U 825 613
Q 970 28
U 613 826
Q 871 543
U 834 35
Q 964 78
U 88 818
Q 838 249
U 209 766
Q 897 329
U 492 693
Q 762 432
U 264 533
Q 443 327
U 962 322
Q 270 140
U 288 240
Q 168 901
U 418 391
Q 796 253
U 426 760
Q 331 866
U 931 170
Q 115 140
U 288 13
Q 821 781
U 58 936
Q 565 674
U 469 360
Q 353 784
U 682 623
Q 924 970
U 864 444
Q 224 282
U 836 20
Q 887 614
U 133 219
Q 481 64
U 741 596
Q 204 381
U 961 378
Q 514 371
U 314 79
Q 45 135
U 439 399
Q 919 122
U 22 195
Q 92 238
U 640 668
Q 521 476
U 689 760
Q 90 822
U 979 923
Q 238 72
U 872 442
Q 454 833
U 820 968
Q 557 486
U 48 602
Q 622 839
U 353 541
Q 961 376
U 737 406
Q 966 729
U 74 839
Q 205 115
U 600 647
Q 937 579
U 571 175
Q 4 443
U 970 458
Q 628 142
U 778 185
Q 629 178
U 140 603
Q 18 493
U 144 979
Q 221 233
U 737 188
Q 314 812
U 27 519
Q 927 627
U 519 217
Q 559 90
U 744 563
Q 885 66
U 373 865
Q 209 151
U 403 190
Q 330 895
U 793 348
Q 388 289
U 679 962
Q 875 417
U 502 189
Q 581 529
U 61 860
Q 509 580
U 77 420
Q 22 822
U 983 907
Q 240 708
U 124 449
Q 211 527
U 991 893
Q 774 136
U 593 163
Q 426 273
U 477 653
Q 42 979
U 842 623
Q 860 903
U 483 369
Q 483 913
U 789 857
Q 87 124
U 116 327
Q 184 241
U 777 396
Q 120 120
U 289 895
Q 257 883
U 410 683
Q 508 887
U 688 550
Q 218 530
U 525 78
Q 786 8
U 800 621
Q 273 589
U 479 360
Q 66 595
U 688 602
Q 836 817
U 998 309
Q 937 640
U 204 546
Q 875 966
U 581 383
Q 205 269
U 285 423
Q 800 810
U 501 938
Q 170 653
U 559 444
Q 595 38
U 804 661
Q 986 844
U 263 174
Q 661 614
U 483 951
Q 606 39
U 497 481
Q 5 79
U 864 562
Q 348 149
U 985 500
Q 311 839
U 438 481
Q 492 998
U 277 87
Q 388 434
U 100 374
Q 278 716
U 901 292
Q 330 384
U 243 936
Q 776 92
U 769 133
Q 171 633
U 696 872
Q 134 681
U 724 797
Q 872 163
U 630 365
Q 513 908
U 804 253
Q 694 905
U 980 972
Q 621 881
U 616 303
Q 617 859
U 591 393
Q 952 360
U 527 475
Q 345 575
U 699 831
Q 608 424
U 628 481
Q 939 258
U 198 804
Q 518 2
U 409 212
Q 259 389
U 537 232
Q 622 153
U 535 240
Q 365 478
U 985 669
Q 190 864
U 144 535
Q 439 196
U 366 48
Q 972 346
U 881 911
Q 957 431
U 67 827
Q 433 476
U 392 45
Q 866 929
U 277 488
Q 434 165
U 80 151
Q 643 418
U 820 834
Q 282 317
U 721 74
Q 513 440
U 474 485
Q 786 355
U 748 95
Q 786 815
U 923 571
Q 291 315
U 616 509
Q 596 246
U 350 30
Q 411 782
U 534 406
Q 200 354
U 592 483
Q 23 314
U 557 888
Q 754 31
U 725 892
Q 738 473
U 988 876
Q 640 911
U 447 932
Q 226 416
U 793 174
Q 662 143
U 556 425
Q 926 90
U 183 126
Q 445 776
U 961 820
Q 442 518
U 709 196
Q 901 434
U 440 991
Q 908 780
U 867 900
Q 691 667
U 832 269
Q 83 978
U 795 97
Q 121 352
U 874 399
Q 442 57
U 878 239
Q 833 839
U 60 275
Q 710 769
U 823 963
Q 555 616
U 955 815
Q 396 174
U 716 440
Q 841 900
U 709 276
Q 878 505
U 725 352
Q 209 599
U 103 651
Q 9 981
U 891 194
Q 173 303
U 470 235
Q 424 645
U 550 979
Q 261 505
U 795 10
Q 32 863
U 450 873
Q 763 511
U 150 642
Q 368 227
U 994 577
Q 827 449
U 229 188
Q 431 472
U 382 956
Q 127 204
U 543 551
Q 850 93
U 882 463
Q 951 29
U 473 983
Q 892 275
U 208 656
Q 787 710
U 650 155
Q 938 996
U 85 117
Q 445 666
U 305 228
Q 138 687
U 536 617
Q 244 79
U 168 446
Q 525 402
U 909 476
Q 432 735
U 811 324
Q 362 19
U 332 149
Q 730 982
U 657 20
Q 978 742
U 137 776
Q 408 442
U 4 898
Q 481 541
U 515 725
Q 972 35
U 171 497
Q 437 433
U 325 869
Q 520 488
U 546 882
Q 508 878
U 384 590
Q 213 41
U 610 543
Q 135 747
U 319 543
Q 541 676
U 793 374
Q 569 308
U 100 541
Q 343 623
U 391 780
Q 408 716
U 2 928
Q 205 548
U 163 65
Q 426 547
U 655 639
Q 940 617
U 183 75
Q 716 854
U 970 257
Q 530 763
U 631 99
Q 423 83
U 993 766
Q 59 384
U 898 467
Q 100 900
U 748 657
Q 800 911
U 722 227
Q 810 729
U 218 750
Q 698 753
U 825 414
Q 608 147
U 23 490
Q 910 655
U 590 685
Q 90 583
U 803 149
Q 319 701
U 969 771
Q 954 717
U 429 754
Q 980 503
U 333 790
Q 585 904
U 892 283
Q 9 69
U 698 617
Q 216 721
U 460 478
Q 728 50
U 163 171
Q 985 966
U 320 656
Q 19 641
U 427 325
Q 358 856
U 432 690
Q 712 765
U 480 297
Q 21 724
U 580 31
Q 793 630
U 0 361
Q 704 460
U 839 784
Q 862 354
U 955 199
Q 320 628
U 855 692
Q 269 283
U 17 980
Q 491 449
U 670 203
Q 215 503
U 500 588
Q 227 433
U 619 373
Q 63 972
U 734 119
Q 432 926
U 904 647
Q 280 211
U 846 953
Q 839 702
U 645 461
Q 337 662
U 441 828
Q 112 463
U 384 679
Q 966 884
U 267 546
Q 317 239
U 271 733
Q 211 5
U 852 995
Q 283 108
U 642 564
Q 320 489
U 869 511
Q 543 514
U 972 232
Q 176 765
U 60 640
Q 229 796
U 319 547
Q 681 939
U 93 350
Q 178 716
U 435 741
Q 74 640
U 736 357
Q 748 731
U 273 420
Q 572 142
U 932 115
Q 656 256
U 347 185
Q 22 759
U 825 251
Q 556 145
U 798 589
Q 436 244
U 291 966
Q 312 727
U 707 386
Q 367 795
U 744 467
Q 878 17
U 240 450
Q 512 172
U 917 168
Q 780 264
U 353 802
Q 376 531
U 405 284
Q 28 556
U 225 464
Q 152 516
U 430 464
Q 243 489
U 851 962
Q 636 595
U 782 515
Q 964 22
U 965 476
Q 546 883
U 997 326
Q 499 702
U 481 227
Q 233 886
U 863 261
Q 794 88
U 725 946
Q 605 507
U 411 200
Q 996 614
U 515 985
Q 561 297
U 500 877
Q 319 817
U 354 865
Q 52 703
U 543 904
Q 405 24
U 131 991
Q 263 347
U 252 57
Q 435 330
U 4 392
Q 189 767
U 945 538
Q 733 460
U 523 294
Q 109 375
U 171 428
Q 192 877
U 645 245
Q 580 188
U 501 338
Q 213 632
U 329 476
Q 979 933
U 533 767
Q 263 889
U 511 805
Q 8 808
U 343 741
Q 268 866
U 387 377
Q 241 559
U 157 785
Q 788 802
U 382 721
Q 343 883
U 59 908
Q 516 740
U 384 847
Q 673 269
U 966 289
Q 511 830
U 94 871
Q 638 437
U 613 907
Q 655 0
U 636 896
Q 911 146
U 33 52
Q 300 416
U 773 643
Q 299 184
U 903 167
Q 276 639
U 367 949
Q 909 333
U 590 772
Q 163 684
U 643 802
Q 473 608
U 61 128
Q 961 49
U 376 872
Q 547 762
U 924 848
Q 178 49
U 843 477
Q 585 747
U 997 861
Q 386 364
U 163 647
Q 49 753
U 771 213
Q 790 415
U 367 615
Q 375 780
U 96 336
Q 181 824
U 561 729
Q 586 485
U 577 764
Q 887 420
U 594 472
Q 519 591
U 334 906
Q 955 497
U 905 4
Q 602 677
U 569 744
Q 444 288
U 360 819
Q 68 456
U 156 250
Q 280 717
U 331 867
Q 554 908
U 983 441
Q 680 577
U 266 200
Q 520 952
U 458 827
Q 801 363
U 184 403
Q 392 753
U 148 836
Q 394 860
U 656 814
Q 316 164
U 416 948
Q 881 747
U 167 787
Q 655 151
U 581 688
Q 80 847
U 240 601
Q 799 698
U 780 952
Q 413 964
U 355 158
Q 718 855
U 994 464
Q 715 2
U 278 383
Q 166 695
U 332 399
Q 442 499
U 187 450
Q 2 768
U 138 435
Q 967 378
U 388 118
Q 428 168
U 70 841
Q 133 777
U 999 203
Q 633 346
U 667 700
Q 348 945
U 84 867
Q 640 768
U 266 435
Q 619 805
U 885 974
Q 925 23
U 409 244
Q 753 797
U 362 181
Q 965 784
U 374 450
Q 562 374
U 653 547
Q 72 320
U 247 420
Q 618 683
U 639 610
Q 803 906
U 45 423
Q 63 930
U 397 341
Q 305 158
U 585 58
Q 955 948
U 591 272
Q 84 966
U 723 646
Q 340 728
U 193 764
Q 401 793
U 184 19
Q 828 824
U 629 632
Q 82 675
U 55 497
Q 957 804
U 838 615
Q 962 424
U 673 269
Q 724 617
U 893 808
Q 583 616
U 455 275
Q 697 0
U 39 98
Q 145 575
U 117 974
Q 751 98
U 958 833
Q 125 365
U 331 83
Q 169 521
U 698 483
Q 945 723
U 752 21
Q 340 645
U 830 275
Q 614 637
U 550 663
Q 989 589
U 761 135
Q 165 230
U 461 916
Q 680 419
U 102 806
Q 784 785
U 241 305
Q 306 939
U 140 604
Q 14 244
U 625 707
Q 241 455
U 982 855
Q 444 533
U 870 434
Q 474 631
U 921 991
Q 213 382
U 908 894
Q 153 362
U 52 289
Q 147 293
U 946 805
Q 584 86
U 409 598
Q 330 387
U 657 571
Q 194 640
U 779 639
Q 525 649
U 425 999
Q 633 346
U 991 198
Q 80 251
U 444 233
Q 613 496
U 874 112
Q 789 820
U 917 373
Q 258 679
U 324 940
Q 66 981
U 511 260
Q 621 642
U 899 498
Q 644 676
U 498 277
Q 22 841
U 827 102
Q 444 272
U 687 57
Q 768 913
U 521 910
Q 85 790
U 283 343
Q 469 607
U 283 887
Q 941 147
U 148 914
Q 789 399
U 413 785
Q 76 263
U 62 450
Q 104 890
U 905 548
Q 514 592
U 957 282
Q 506 830
U 544 943
Q 620 828
U 287 90
Q 787 922
U 329 728
Q 69 477
U 995 211
Q 229 408
U 348 657
Q 671 411
U 107 127
Q 653 12
U 27 519
Q 957 336
U 153 815
Q 166 698
U 758 786
Q 878 397
U 228 665
Q 320 558
U 746 741
Q 387 741
U 304 968
Q 501 653
U 625 524
Q 416 85
U 651 421
Q 449 30
U 940 758
Q 366 93
U 573 884
Q 143 684
U 22 21
Q 433 251
U 39 753
Q 161 137
U 847 548
Q 878 503
U 869 731
Q 508 494
U 255 924
Q 931 258
U 697 733
Q 288 989
U 491 6
Q 435 417
U 890 578
Q 101 264
U 600 534
Q 515 991
U 640 28
Q 128 839
U 929 6
Q 342 798
U 89 203
Q 292 344
U 479 576
Q 602 177
U 309 242
Q 518 800
U 248 953
Q 569 490
U 884 670
Q 754 484
U 557 622
Q 827 549
U 650 955
Q 740 579
U 313 434
Q 377 402
U 637 22
Q 98 117
U 950 700
Q 646 259
U 294 164
Q 411 894
U 470 981
Q 384 354
U 3 490
Q 190 912
U 464 17
Q 813 467
U 972 553
Q 398 285
U 988 128
Q 687 625
U 150 785
Q 94 100
U 837 740
Q 711 483
U 257 474
Q 377 727
U 455 113
Q 433 811
U 603 623
Q 723 420
U 640 537
Q 887 964
U 442 285
Q 249 430
U 413 288
Q 408 915
U 425 502
Q 367 614
U 595 430
Q 97 852
U 905 474
Q 931 360
U 939 364
Q 523 542
U 339 247
Q 314 331
U 136 201
Q 295 578
U 839 896
Q 9 604
U 536 769
Q 520 961
U 271 239
Q 927 218
U 670 24
Q 422 575
U 850 705
Q 287 789
U 69 811
Q 683 760
U 410 998
Q 91 546
U 551 386
Q 124 390
U 282 485
Q 347 818
U 606 867
Q 131 230
U 458 58
Q 448 128
U 434 871
Q 55 636
U 576 343
Q 425 998
U 154 461
Q 758 564
U 811 202
Q 462 362
U 588 938
Q 105 223
U 776 452
Q 393 382
U 671 525
Q 612 481
U 935 413
Q 610 370
U 636 665
Q 358 564
U 360 784
Q 562 514
U 597 673
Q 430 408
U 875 244
Q 122 815
U 183 579
Q 38 959
U 383 432
Q 693 54
U 309 306
Q 536 244
U 719 498
Q 966 707
U 515 325
Q 271 876
U 461 834
Q 742 58
U 859 173
Q 818 86
U 769 940
Q 901 952
U 520 292
Q 263 903
U 724 957
Q 310 385
U 615 198
Q 629 686
U 48 948
Q 393 563
U 273 664
Q 439 86
U 850 534
Q 496 709
U 707 314
Q 147 476
U 606 49
Q 781 478
U 341 44
Q 382 417
U 353 44
Q 154 968
U 594 135
Q 654 642
U 83 399
Q 557 708
U 64 349
Q 794 914
U 883 290
Q 976 942
U 956 123
Q 770 563
U 524 551
Q 41 217
U 948 775
Q 986 301
U 171 140
Q 622 765
U 276 628
Q 759 359
U 28 317
Q 420 444
U 666 214
Q 710 549
U 857 686
Q 491 813
U 162 261
Q 728 38
U 165 770
Q 256 113
U 897 594
Q 766 69
U 735 388
Q 834 11
U 369 594
Q 722 397
U 263 142
Q 193 929
U 709 903
Q 830 918
U 942 673
Q 83 456
U 286 812
Q 494 451
U 934 102
Q 916 831
U 697 683
Q 900 432
U 423 735
Q 795 144
U 681 869
Q 541 944
U 364 86
Q 873 425
U 990 55
Q 343 284
U 728 426
Q 740 14
U 590 234
Q 466 524
U 689 734
Q 356 386
U 769 256
Q 170 193
U 991 965
Q 337 24
U 186 231
Q 968 550
U 669 193
Q 975 659
U 248 670
Q 943 976
U 97 35
Q 343 687
U 622 161
Q 564 311
U 895 920
Q 697 665
U 176 867
Q 210 520
U 184 899
Q 544 722
U 130 513
Q 273 152
U 58 600
Q 811 307
U 271 107
Q 635 720
U 494 978
Q 759 116
U 139 323
Q 427 387
U 595 124
Q 52 772
U 343 262
Q 644 879
U 161 188
Q 602 644
U 53 227
Q 796 112
U 827 959
Q 771 450
U 418 758
Q 522 913
U 737 634
Q 29 228
U 957 809
Q 615 553
U 933 667
Q 677 629
U 281 321
Q 860 443
U 509 462
Q 439 915
U 689 587
Q 379 869
U 546 150
Q 671 317
U 908 194
Q 230 997
U 828 611
Q 578 137
U 420 193
Q 42 706
U 213 719
Q 687 846
U 392 547
Q 289 254
U 10 80
Q 169 51
U 667 548
Q 272 566
U 50 296
Q 883 310
U 490 113
Q 308 670
U 76 238
Q 159 497
U 431 202
Q 555 996
U 273 242
Q 843 666
U 789 484
Q 920 151
U 565 441
Q 555 584
U 341 179
Q 150 391
U 475 33
Q 53 317
U 498 713
Q 987 927
U 951 499
Q 776 383
U 53 331
Q 731 326
U 925 574
Q 344 66
U 59 264
Q 570 976
U 57 125
Q 560 398
U 656 63
Q 789 132
U 448 195
Q 449 299
U 908 789
Q 226 860
U 640 354
Q 243 693
U 685 974
Q 19 962
U 901 364
Q 28 312
U 980 598
1000 2997
U 0 0
Q 0 0
Q 0 108
U 0 1
Q 1 0
Q 0 620
U 1 2
Q 1 2
Q 0 768
U 2 3
Q 1 2
Q 3 220
U 3 4
Q 2 0
Q 1 629
U 1 5
Q 3 4
Q 4 647
U 3 6
Q 3 0
Q 4 403
U 6 7
Q 0 4
Q 4 120
U 4 8
Q 6 2
Q 1 484
U 3 9
Q 6 0
Q 7 723
U 8 10
Q 0 10
Q 2 441
U 0 11
Q 3 8
Q 11 267
U 0 12
Q 7 5
Q 10 28
U 7 13
Q 13 7
Q 4 375
U 0 14
Q 6 6
Q 14 571
U 13 15
Q 8 11
Q 11 855
U 6 16
Q 14 15
Q 0 619
U 8 17
Q 2 16
Q 4 623
U 14 18
Q 11 6
Q 15 789
U 4 19
Q 9 1
Q 8 117
U 4 20
Q 4 20
Q 8 364
U 8 21
Q 8 17
Q 1 865
U 10 22
Q 22 5
Q 3 235
U 13 23
Q 16 4
Q 20 136
U 22 24
Q 12 0
Q 16 788
U 5 25
Q 7 13
Q 12 441
U 18 26
Q 6 4
Q 3 476
U 9 27
Q 24 12
Q 7 44
U 23 28
Q 25 3
Q 14 362
U 27 29
Q 7 16
Q 4 943
U 18 30
Q 22 6
Q 17 814
U 7 31
Q 0 21
Q 5 546
U 25 32
Q 7 28
Q 5 593
U 4 33
Q 11 26
Q 27 869
U 10 34
Q 34 26
Q 8 127
U 33 35
Q 18 13
Q 34 854
U 0 36
Q 3 9
Q 25 207
U 28 37
Q 17 1
Q 25 395
U 37 38
Q 4 14
Q 22 620
U 19 39
Q 16 16
Q 27 122
U 3 40
Q 12 35
Q 15 265
U 20 41
Q 28 38
Q 1 318
U 8 42
Q 30 24
Q 30 766
U 40 43
Q 15 36
Q 20 300
U 19 44
Q 33 13
Q 8 390
U 2 45
Q 13 7
Q 39 598
U 29 46
Q 4 38
Q 31 806
U 23 47
Q 14 47
Q 10 892
U 29 48
Q 21 43
Q 3 875
U 24 49
Q 33 41
Q 6 866
U 29 50
Q 19 30
Q 35 937
U 35 51
Q 8 50
Q 10 456
U 26 52
Q 20 41
Q 49 534
U 2 53
Q 15 24
Q 2 322
U 12 54
Q 8 15
Q 6 980
U 22 55
Q 32 53
Q 17 476
U 27 56
Q 1 21
Q 24 308
U 40 57
Q 38 20
Q 32 330
U 52 58
Q 58 29
Q 14 439
U 58 59
Q 28 41
Q 51 498
U 25 60
Q 29 24
Q 37 555
U 14 61
Q 25 15
Q 30 812
U 7 62
Q 41 14
Q 6 840
U 4 63
Q 16 0
Q 41 326
U 38 64
Q 35 58
Q 17 267
U 37 65
Q 41 9
Q 15 786
U 37 66
Q 30 54
Q 24 502
U 46 67
Q 66 62
Q 47 852
U 2 68
Q 46 35
Q 46 227
U 55 69
Q 60 63
Q 37 478
U 52 70
Q 3 17
Q 5 620
U 18 71
Q 57 18
Q 71 385
U 60 72
Q 53 12
Q 42 677
U 37 73
Q 34 39
Q 60 517
U 31 74
Q 14 50
Q 23 970
U 53 75
Q 23 2
Q 52 816
U 42 76
Q 30 19
Q 24 862
U 12 77
Q 70 74
Q 54 233
U 43 78
Q 78 13
Q 37 550
U 39 79
Q 11 39
Q 26 393
U 28 80
Q 49 55
Q 2 322
U 72 81
Q 66 68
Q 16 876
U 2 82
Q 14 43
Q 50 551
U 43 83
Q 49 53
Q 80 877
U 56 84
Q 36 20
Q 78 139
U 80 85
Q 82 57
Q 7 367
U 4 86
Q 76 46
Q 30 976
U 74 87
Q 67 86
Q 85 599
U 67 88
Q 36 14
Q 76 408
U 45 89
Q 59 17
Q 58 477
U 33 90
Q 63 85
Q 46 741
U 40 91
Q 39 72
Q 76 943
U 61 92
Q 39 70
Q 25 361
U 11 93
Q 25 22
Q 27 399
U 62 94
Q 8 15
Q 4 722
U 2 95
Q 63 29
Q 53 211
U 64 96
Q 18 27
Q 41 326
U 87 97
Q 93 43
Q 40 964
U 16 98
Q 38 81
Q 67 444
U 6 99
Q 76 81
Q 40 551
U 92 100
Q 75 21
Q 41 687
U 62 101
Q 48 47
Q 61 861
U 4 102
Q 38 43
Q 96 949
U 59 103
Q 36 79
Q 54 108
U 93 104
Q 79 49
Q 4 536
U 16 105
Q 100 67
Q 80 608
U 28 106
Q 10 14
Q 33 370
U 79 107
Q 54 90
Q 53 623
U 39 108
Q 40 47
Q 88 318
U 31 109
Q 104 91
Q 55 432
U 71 110
Q 33 82
Q 68 126
U 82 111
Q 97 4
Q 2 935
U 110 112
Q 30 78
Q 30 923
U 1 113
Q 55 97
Q 31 534
U 21 114
Q 27 53
Q 0 628
U 40 115
Q 41 16
Q 51 202
U 82 116
Q 83 86
Q 32 932
U 13 117
Q 41 49
Q 6 353
U 5 118
Q 106 48
Q 82 636
U 24 119
Q 94 43
Q 0 152
U 107 120
Q 101 79
Q 96 445
U 52 121
Q 111 56
Q 25 601
U 66 122
Q 76 115
Q 0 252
U 117 123
Q 61 56
Q 26 560
U 121 124
Q 67 75
Q 43 410
U 86 125
Q 119 46
Q 13 587
U 80 126
Q 122 45
Q 48 493
U 60 127
Q 14 81
Q 50 131
U 112 128
Q 36 31
Q 47 607
U 29 129
Q 26 105
Q 29 376
U 21 130
Q 101 87
Q 102 236
U 109 131
Q 88 26
Q 16 357
U 103 132
Q 105 80
Q 91 878
U 91 133
Q 117 54
Q 120 800
U 22 134
Q 89 56
Q 28 569
U 84 135
Q 58 92
Q 58 949
U 11 136
Q 47 86
Q 118 806
U 59 137
Q 48 128
Q 137 404
U 37 138
Q 42 127
Q 57 739
U 38 139
Q 104 16
Q 51 344
U 32 140
Q 97 82
Q 135 651
U 66 141
Q 8 95
Q 42 765
U 11 142
Q 53 120
Q 33 640
U 108 143
Q 82 0
Q 98 311
U 20 144
Q 35 49
Q 53 526
U 16 145
Q 1 104
Q 128 996
U 48 146
Q 32 146
Q 132 944
U 84 147
Q 50 127
Q 86 447
U 112 148
Q 27 49
Q 137 699
U 38 149
Q 88 14
Q 48 858
U 123 150
Q 124 56
Q 96 328
U 38 151
Q 80 50
Q 25 886
U 96 152
Q 53 42
Q 69 264
U 64 153
Q 65 80
Q 19 917
U 153 154
Q 121 132
Q 137 173
U 121 155
Q 64 98
Q 22 995
U 73 156
Q 100 69
Q 110 340
U 33 157
Q 27 87
Q 54 372
U 156 158
Q 71 95
Q 97 704
U 93 159
Q 37 47
Q 94 274
U 128 160
Q 25 104
Q 107 164
U 101 161
Q 47 82
Q 34 542
U 1 162
Q 104 79
Q 37 904
U 89 163
Q 5 49
Q 54 864
U 142 164
Q 145 120
Q 59 584
U 59 165
Q 88 49
Q 125 752
U 134 166
Q 81 39
Q 112 535
U 155 167
Q 165 66
Q 165 545
U 16 168
Q 50 112
Q 9 851
U 28 169
Q 52 33
Q 1 921
U 125 170
Q 54 62
Q 110 790
U 12 171
Q 75 165
Q 147 312
U 136 172
Q 103 84
Q 145 217
U 82 173
Q 125 49
Q 82 256
U 78 174
Q 78 67
Q 141 757
U 94 175
Q 98 36
Q 15 244
U 109 176
Q 45 31
Q 7 312
U 5 177
Q 110 19
Q 38 247
U 129 178
Q 135 4
Q 103 287
U 95 179
Q 146 4
Q 128 864
U 18 180
Q 141 48
Q 79 889
U 21 181
Q 66 98
Q 149 945
U 110 182
Q 94 49
Q 166 586
U 49 183
Q 170 154
Q 144 745
U 46 184
Q 127 5
Q 122 878
U 178 185
Q 105 5
Q 26 802
U 129 186
Q 122 96
Q 129 207
U 39 187
Q 79 13
Q 116 445
U 81 188
Q 5 23
Q 162 677
U 46 189
Q 117 54
Q 54 217
U 105 190
Q 5 160
Q 39 269
U 67 191
Q 165 152
Q 131 468
U 190 192
Q 39 153
Q 43 980
U 86 193
Q 190 12
Q 117 830
U 9 194
Q 19 109
Q 185 803
U 0 195
Q 175 162
Q 121 948
U 121 196
Q 50 4
Q 184 536
U 160 197
Q 46 43
Q 28 867
U 119 198
Q 128 110
Q 196 953
U 96 199
Q 123 62
Q 191 926
U 190 200
Q 6 136
Q 116 424
U 199 201
Q 16 102
Q 41 376
U 148 202
Q 63 45
Q 45 668
U 189 203
Q 154 85
Q 96 872
U 201 204
Q 71 49
Q 67 394
U 15 205
Q 168 45
Q 184 761
U 140 206
Q 201 35
Q 132 418
U 48 207
Q 17 69
Q 47 320
U 127 208
Q 79 40
Q 71 773
U 77 209
Q 49 41
Q 141 537
U 59 210
Q 196 65
Q 117 906
U 159 211
Q 18 101
Q 175 771
U 79 212
Q 113 91
Q 49 644
U 136 213
Q 156 75
Q 11 817
U 187 214
Q 187 183
Q 110 519
U 137 215
Q 74 29
Q 159 890
U 47 216
Q 52 19
Q 155 554
U 87 217
Q 18 217
Q 35 219
U 48 218
Q 10 41
Q 14 814
U 218 219
Q 45 186
Q 126 288
U 8 220
Q 29 71
Q 219 503
U 180 221
Q 198 119
Q 59 248
U 185 222
Q 207 33
Q 176 926
U 153 223
Q 139 80
Q 101 347
U 81 224
Q 42 223
Q 26 365
U 119 225
Q 1 81
Q 176 943
U 198 226
Q 165 124
Q 174 677
U 6 227
Q 84 177
Q 187 741
U 47 228
Q 185 87
Q 32 713
U 189 229
Q 68 51
Q 96 929
